name,M,A,R1,R2,R3,E_gap
C53H34F8N4O10SZn,FZnP,EthynThPA,TMP,DMP,TMP,3.883843643620594
C73H59F8N5O2SZn,FZnP,EthynThPA,DTBP,TPA,DTBP,3.857902201402112
C75H63F8N5O4SZn,FZnP,EthynThPA,DTBP,MOTPA,DTBP,3.6854003078906317
C80H42F13N7O6S2Zn,FZnP,EthynDThPCyanoAcryl,MOTPA,FPh,MOTPA,2.594398100551871
C70H37F8N7O2SZn,FZnP,ThPCyanoAcryl,TPA,Ph,TPA,3.4574950548219476
C69H59F8N5O2SZn,FZnP,EthynThPA,DTBP,DTA,DTBP,3.8364933016385976
C54H25F8N5O4S2Zn,FZnP,EthynDThPCyanoAcryl,Ph,DMP,Ph,3.798569578386605
C70H60F8N6O2SZn,FZnP,ThPCyanoAcryl,DTBP,DTA,DTBP,3.780202019208673
C61H29F8N5O2S2Zn,FZnP,EthynDThPA,Ph,TPA,Ph,3.6493178604638388
C70H32F13N7O2SZn,FZnP,ThPCyanoAcryl,TPA,FPh,TPA,3.374919866049595
C61H50F8N4O2SZn,FZnP,EthynThPA,DTBP,Ph,DTBP,4.5215851941104575
C74H48F8N8O2S2Zn,FZnP,DThPCyanoAcryl,DTA,DTA,DTA,3.069019216688048
C58H38F8N4O11S2Zn,FZnP,EthynDThPA,TMP,TMP,TMP,3.614528763662179
C57H36F8N4O10S2Zn,FZnP,EthynDThPA,TMP,DMP,TMP,3.682164979968661
C55H27F13N4O8S2Zn,FZnP,EthynDThPA,TMP,FPh,TMP,3.6637638808206248
C60H18F18N6O2SZn,FZnP,EthynThPCyanoAcryl,FPh,TPA,FPh,3.5346793569917736
C53H23F13N4O6S2Zn,FZnP,EthynDThPA,DMP,FPh,DMP,3.9024620920820325
C63H54F8N4O4SZn,FZnP,EthynThPA,DTBP,DMP,DTBP,4.331113414787069
C55H27F8N5O5S2Zn,FZnP,EthynDThPCyanoAcryl,Ph,TMP,Ph,3.6278736338651925
C56H29F8N5O6S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,Ph,DMP,3.7196579638915637
C63H33F8N5O4S2Zn,FZnP,EthynDThPA,Ph,MOTPA,Ph,3.481418189716237
C65H39F8N7O3SZn,FZnP,ThPCyanoAcryl,DTA,EthynPhM,DTA,3.320995941861952
C86H48F8N8O2S2Zn,FZnP,DThPCyanoAcryl,TPA,TPA,TPA,3.056879105457824
C56H30F8N4O7S2Zn,FZnP,EthynDThPA,DMP,EthynPhM,DMP,3.8099339188572685
C45H18F8N4O2SZn,FZnP,EthynThPA,Ph,Ph,Ph,4.6648900026633555
C88H56F8N8O6S2Zn,FZnP,EthynDThPCyanoAcryl,MOTPA,DTA,MOTPA,2.5375706982483734
C76H64F8N6O4SZn,FZnP,ThPCyanoAcryl,DTBP,MOTPA,DTBP,3.578246840159636
C56H18F18N6O2SZn,FZnP,EthynThPCyanoAcryl,FPh,DTA,FPh,3.526845476627045
C73H43F8N7O5SZn,FZnP,ThPCyanoAcryl,TPA,TMP,TPA,3.391354958758029
C80H51F8N7O8S2Zn,FZnP,DThPCyanoAcryl,MOTPA,DMP,MOTPA,2.914403546405879
C78H47F8N7O6S2Zn,FZnP,DThPCyanoAcryl,MOTPA,Ph,MOTPA,2.8469490353774063
C45H13F13N4O2SZn,FZnP,EthynThPA,Ph,FPh,Ph,4.637956487997144
C62H22F18N6O4SZn,FZnP,EthynThPCyanoAcryl,FPh,MOTPA,FPh,3.322417782114826
C56H24F13N5O6S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,FPh,DMP,3.678258939621969
C53H27F8N5O2SZn,FZnP,EthynThPA,Ph,DTA,Ph,3.837988049706496
C70H46F8N8O2SZn,FZnP,ThPCyanoAcryl,DTA,DTA,DTA,3.1512049792318066
C59H31F8N5O7S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,EthynPhM,DMP,3.5529924763885674
C78H42F13N7O6S2Zn,FZnP,DThPCyanoAcryl,MOTPA,FPh,MOTPA,2.8036698957129147
C61H44F8N4O6S2Zn,FZnP,EthynDThPA,DMP,DTBP,DMP,3.9524411550427203
C59H35F8N5O9S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,TMP,DMP,3.4746399763098452
C62H32F13N7O2SZn,FZnP,ThPCyanoAcryl,DTA,FPh,DTA,3.336047889546194
C46H4F23N5O2SZn,FZnP,ThPCyanoAcryl,FPh,FPh,FPh,4.578445233349726
C58H33F8N5O8S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,DMP,DMP,3.6184390218103317
C57H29F8N5O2S2Zn,FZnP,EthynDThPA,Ph,DTA,Ph,3.605187512678299
C72H41F8N7O4SZn,FZnP,ThPCyanoAcryl,TPA,DMP,TPA,3.3883913659710743
C81H49F8N7O7S2Zn,FZnP,DThPCyanoAcryl,MOTPA,EthynPhM,MOTPA,2.8366843694110457
C48H20F8N4O3SZn,FZnP,EthynThPA,Ph,EthynPhM,Ph,4.312684304256436
C82H48F8N8O2S2Zn,FZnP,DThPCyanoAcryl,TPA,DTA,TPA,3.0243253473814775
C65H37F8N5O6S2Zn,FZnP,EthynDThPA,DMP,TPA,DMP,3.57981373038092
C65H43F8N7O5SZn,FZnP,ThPCyanoAcryl,DTA,TMP,DTA,3.330731752503084
C49H11F18N5O3SZn,FZnP,ThPCyanoAcryl,FPh,EthynPhM,FPh,4.250444242545541
C77H41F8N7O3S2Zn,FZnP,DThPCyanoAcryl,TPA,EthynPhM,TPA,3.235118707770198
C78H53F8N7O2SZn,FZnP,ThPCyanoAcryl,TPA,DTBP,TPA,3.468879886805894
C82H61F8N7O6SZn,FZnP,ThPCyanoAcryl,MOTPA,DTBP,MOTPA,2.9845937804864207
C48H24F8N4O5SZn,FZnP,EthynThPA,Ph,TMP,Ph,4.22503793095143
C47H22F8N4O4SZn,FZnP,EthynThPA,Ph,DMP,Ph,4.397761861179902
C65H52F8N4O2S2Zn,FZnP,EthynDThPA,DTBP,Ph,DTBP,4.176871556866104
C49H26F8N4O6SZn,FZnP,EthynThPA,DMP,Ph,DMP,4.2590470362455335
C49H15F18N5O5SZn,FZnP,ThPCyanoAcryl,FPh,TMP,FPh,4.0688830043162625
C78H48F8N8O2S2Zn,FZnP,DThPCyanoAcryl,DTA,TPA,DTA,3.029472794879325
C69H45F8N7O5S2Zn,FZnP,DThPCyanoAcryl,DTA,TMP,DTA,3.2149485578778467
C84H54F8N8O6SZn,FZnP,EthynThPCyanoAcryl,MOTPA,DTA,MOTPA,2.618424944723529
C81H53F8N7O9S2Zn,FZnP,DThPCyanoAcryl,MOTPA,TMP,MOTPA,2.878822873677109
C49H21F13N4O6SZn,FZnP,EthynThPA,DMP,FPh,DMP,4.186176450663083
C64H45F8N5O6S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,DTBP,DMP,3.69419065887962
C62H46F13N5O2SZn,FZnP,ThPCyanoAcryl,DTBP,FPh,DTBP,4.484254219382137
C53H34F8N4O2SZn,FZnP,EthynThPA,Ph,DTBP,Ph,4.566760943581016
C51H30F8N4O8SZn,FZnP,EthynThPA,DMP,DMP,DMP,4.118540805388989
C70H53F8N7O2SZn,FZnP,ThPCyanoAcryl,DTA,DTBP,DTA,3.3612289521211096
C74H41F8N7O4SZn,FZnP,EthynThPCyanoAcryl,TPA,DMP,TPA,3.2474655541769835
C63H48F8N4O8S2Zn,FZnP,EthynDThPA,TMP,DTBP,TMP,3.7241269139664155
C58H34F8N4O9S2Zn,FZnP,EthynDThPA,TMP,EthynPhM,TMP,3.608728860697852
C52H25F8N5O4S2Zn,FZnP,DThPCyanoAcryl,Ph,DMP,Ph,4.0412104261666855
C67H41F8N5O8S2Zn,FZnP,EthynDThPA,DMP,MOTPA,DMP,3.4263286392564396
C49H10F18N4O2S2Zn,FZnP,EthynDThPA,FPh,Ph,FPh,4.20530733355281
C64H30F8N6O2S2Zn,FZnP,EthynDThPCyanoAcryl,Ph,TPA,Ph,3.376676570934137
C73H39F8N7O3SZn,FZnP,ThPCyanoAcryl,TPA,EthynPhM,TPA,3.3521881418181465
C80H52F8N8O4S2Zn,FZnP,DThPCyanoAcryl,DTA,MOTPA,DTA,2.8746507272331883
C86H63F8N7O6S2Zn,FZnP,DThPCyanoAcryl,MOTPA,DTBP,MOTPA,2.8444241157646957
C52H28F8N4O7SZn,FZnP,EthynThPA,DMP,EthynPhM,DMP,4.041542012454897
C52H32F8N4O9SZn,FZnP,EthynThPA,DMP,TMP,DMP,4.003982744535847
C65H53F8N5O3SZn,FZnP,ThPCyanoAcryl,DTBP,EthynPhM,DTBP,4.192343473506071
C64H40F8N6O8SZn,FZnP,ThPCyanoAcryl,TMP,TPA,TMP,3.6238010344137592
C84H50F8N8O4SZn,FZnP,ThPCyanoAcryl,TPA,MOTPA,TPA,3.020721108341263
C67H56F8N4O4S2Zn,FZnP,EthynDThPA,DTBP,DMP,DTBP,4.025042143074643
C72H60F8N6O2SZn,FZnP,EthynThPCyanoAcryl,DTBP,DTA,DTBP,3.5637787023406418
C68H58F8N4O5S2Zn,FZnP,EthynDThPA,DTBP,TMP,DTBP,3.8902419620959563
C57H42F8N4O6SZn,FZnP,EthynThPA,DMP,DTBP,DMP,4.230207069176686
C79H51F8N7O9SZn,FZnP,EthynThPCyanoAcryl,MOTPA,TMP,MOTPA,2.8881569304178356
C51H30F8N4O8SZn,FZnP,EthynThPA,TMP,Ph,TMP,3.9642014310255718
C65H47F13N4O2S2Zn,FZnP,EthynDThPA,DTBP,FPh,DTBP,4.144404744237477
C57H27F8N5O2SZn,FZnP,EthynThPA,Ph,TPA,Ph,3.893327587701833
C74H46F8N8O2SZn,FZnP,ThPCyanoAcryl,DTA,TPA,DTA,3.088261867129063
C69H55F8N5O3S2Zn,FZnP,DThPCyanoAcryl,DTBP,EthynPhM,DTBP,3.9131725460282496
C51H14F18N4O4S2Zn,FZnP,EthynDThPA,FPh,DMP,FPh,3.97281498053394
C68H38F8N6O6S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,TPA,DMP,3.309950062466555
C59H31F8N5O4SZn,FZnP,EthynThPA,Ph,MOTPA,Ph,3.708934655624603
C66H34F8N6O4S2Zn,FZnP,EthynDThPCyanoAcryl,Ph,MOTPA,Ph,3.192596194261455
C51H25F13N4O8SZn,FZnP,EthynThPA,TMP,FPh,TMP,3.8748223845052507
C92H60F8N8O8S2Zn,FZnP,DThPCyanoAcryl,MOTPA,MOTPA,MOTPA,2.663638576744006
C54H36F8N4O11SZn,FZnP,EthynThPA,TMP,TMP,TMP,3.7995454425262096
C69H45F8N5O10S2Zn,FZnP,EthynDThPA,TMP,MOTPA,TMP,3.394138245274803
C76H49F8N7O8SZn,FZnP,ThPCyanoAcryl,MOTPA,DMP,MOTPA,2.9652242930117154
C68H54F8N4O3S2Zn,FZnP,EthynDThPA,DTBP,EthynPhM,DTBP,3.937025186094729
C49H5F23N4O2S2Zn,FZnP,EthynDThPA,FPh,FPh,FPh,4.144235155817
C74H40F13N7O6SZn,FZnP,ThPCyanoAcryl,MOTPA,FPh,MOTPA,2.8454538363932897
C73H68F8N4O2S2Zn,FZnP,EthynDThPA,DTBP,DTBP,DTBP,4.1556942200795675
C54H32F8N4O9SZn,FZnP,EthynThPA,TMP,EthynPhM,TMP,3.7934138493136516
C90H56F8N8O6S2Zn,FZnP,DThPCyanoAcryl,MOTPA,TPA,MOTPA,2.733021027571567
C61H31F13N6O2SZn,FZnP,EthynThPA,DTA,FPh,DTA,3.354094797853577
C59H46F8N4O8SZn,FZnP,EthynThPA,TMP,DTBP,TMP,3.942949418450212
C67H41F8N5O8S2Zn,FZnP,EthynDThPA,TMP,TPA,TMP,3.561804277092051
C78H46F8N8O2SZn,FZnP,ThPCyanoAcryl,TPA,DTA,TPA,3.1311468147835058
C52H16F18N4O5S2Zn,FZnP,EthynDThPA,FPh,TMP,FPh,3.812441201141837
C52H12F18N4O3S2Zn,FZnP,EthynDThPA,FPh,EthynPhM,FPh,3.9199115360387395
C61H37F8N5O6S2Zn,FZnP,EthynDThPA,DMP,DTA,DMP,3.534513234048859
C60H22F18N6O4SZn,FZnP,ThPCyanoAcryl,FPh,MOTPA,FPh,3.446660473183556
C63H40F8N6O4SZn,FZnP,EthynThPA,DTA,DMP,DTA,3.4243539849751414
C73H39F13N6O6SZn,FZnP,EthynThPA,MOTPA,FPh,MOTPA,2.983576861479037
C64H38F8N6O3SZn,FZnP,EthynThPA,DTA,EthynPhM,DTA,3.3388753788131
C64H38F8N6O6S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,DTA,DMP,3.2845703196682052
C76H50F8N8O4SZn,FZnP,ThPCyanoAcryl,DTA,MOTPA,DTA,2.9074362993176237
C70H42F8N6O8S2Zn,FZnP,EthynDThPCyanoAcryl,DMP,MOTPA,DMP,3.153894311680915
C61H35F8N5O6SZn,FZnP,EthynThPA,DMP,TPA,DMP,3.7376735802470193
C64H42F8N6O5SZn,FZnP,EthynThPA,DTA,TMP,DTA,3.4123237982639694
C86H56F8N8O6S2Zn,FZnP,DThPCyanoAcryl,MOTPA,DTA,MOTPA,2.6711883080413372
C69H52F8N6O2SZn,FZnP,EthynThPA,DTA,DTBP,DTA,3.432953809894798
C63H39F8N5O8SZn,FZnP,EthynThPA,DMP,MOTPA,DMP,3.575210575865867
C57H26F18N4O2S2Zn,FZnP,EthynDThPA,FPh,DTBP,FPh,4.145017038107653
C69H45F8N7O2SZn,FZnP,EthynThPA,DTA,DTA,DTA,3.219755379554158
C63H41F8N5O8S2Zn,FZnP,EthynDThPA,TMP,DTA,TMP,3.539648540245821
C57H35F8N5O6SZn,FZnP,EthynThPA,DMP,DTA,DMP,3.711273414295988
C73H45F8N7O2SZn,FZnP,EthynThPA,DTA,TPA,DTA,3.1740431966796905
C77H61F8N5O2S2Zn,FZnP,EthynDThPA,DTBP,TPA,DTBP,3.6290931932843478
C67H42F8N6O4S2Zn,FZnP,EthynDThPA,DTA,DMP,DTA,3.297754749695855
C65H38F8N6O2S2Zn,FZnP,EthynDThPA,DTA,Ph,DTA,3.304279152320987
C73H61F8N5O2S2Zn,FZnP,EthynDThPA,DTBP,DTA,DTBP,3.5920771038436214
C88H58F8N8O8SZn,FZnP,ThPCyanoAcryl,MOTPA,MOTPA,MOTPA,2.756202213415918
C68H44F8N6O5S2Zn,FZnP,EthynDThPA,DTA,TMP,DTA,3.303339867444379
C81H60F8N6O6SZn,FZnP,EthynThPA,MOTPA,DTBP,MOTPA,3.496450402119308
C59H39F8N5O8SZn,FZnP,EthynThPA,TMP,DTA,TMP,3.7030949325044276
C63H39F8N5O8SZn,FZnP,EthynThPA,TMP,TPA,TMP,3.7256265952880767
C65H33F13N6O2S2Zn,FZnP,EthynDThPA,DTA,FPh,DTA,3.2590741846300944
C77H47F8N7O7SZn,FZnP,ThPCyanoAcryl,MOTPA,EthynPhM,MOTPA,2.8753670394479514
C61H19F18N5O2S2Zn,FZnP,EthynDThPA,FPh,TPA,FPh,3.5170300606781666
C75H49F8N7O4SZn,FZnP,EthynThPA,DTA,MOTPA,DTA,3.0127234098267763
C86H54F8N8O6SZn,FZnP,ThPCyanoAcryl,MOTPA,TPA,MOTPA,2.7880373450675506
C73H47F8N7O2S2Zn,FZnP,EthynDThPA,DTA,DTA,DTA,3.12352575035834
C78H43F8N7O4S2Zn,FZnP,EthynDThPCyanoAcryl,TPA,DMP,TPA,3.1018503827191353
C65H43F8N5O10SZn,FZnP,EthynThPA,TMP,MOTPA,TMP,3.5097055381801283
C68H40F8N6O3S2Zn,FZnP,EthynDThPA,DTA,EthynPhM,DTA,3.2321586193094163
C61H36F8N6O2SZn,FZnP,EthynThPA,DTA,Ph,DTA,3.4277344276063104
C77H51F8N7O9SZn,FZnP,ThPCyanoAcryl,MOTPA,TMP,MOTPA,2.9490442212953667
C63H23F18N5O4S2Zn,FZnP,EthynDThPA,FPh,MOTPA,FPh,3.355320972920822
C73H54F8N6O2S2Zn,FZnP,EthynDThPA,DTA,DTBP,DTA,3.3060582812152006
C72H38F8N6O3SZn,FZnP,EthynThPA,TPA,EthynPhM,TPA,3.4311088888558743
C71H40F8N6O4SZn,FZnP,EthynThPA,TPA,DMP,TPA,3.483449167179515
C69H36F8N6O2SZn,FZnP,EthynThPA,TPA,Ph,TPA,3.5406401432437633
C57H19F18N5O2S2Zn,FZnP,EthynDThPA,FPh,DTA,FPh,3.4956279878923624
C69H41F8N7O3S2Zn,FZnP,DThPCyanoAcryl,DTA,EthynPhM,DTA,3.1947164007840456
C77H41F13N6O6S2Zn,FZnP,EthynDThPA,MOTPA,FPh,MOTPA,2.860067923562724
C69H31F13N6O2SZn,FZnP,EthynThPA,TPA,FPh,TPA,3.438965292776402
C82H54F8N8O6SZn,FZnP,ThPCyanoAcryl,MOTPA,DTA,MOTPA,2.7813848107632566
C77H47F8N7O2S2Zn,FZnP,EthynDThPA,DTA,TPA,DTA,3.1037071221293218
C88H48F8N8O2S2Zn,FZnP,EthynDThPCyanoAcryl,TPA,TPA,TPA,2.899023614440239
C81H45F8N7O2SZn,FZnP,EthynThPA,TPA,TPA,TPA,3.245202585051061
C80H52F8N6O9S2Zn,FZnP,EthynDThPA,MOTPA,TMP,MOTPA,2.9912799789271958
C85H62F8N6O6S2Zn,FZnP,EthynDThPA,MOTPA,DTBP,MOTPA,2.9627932022754067
C82H46F8N8O2SZn,FZnP,ThPCyanoAcryl,TPA,TPA,TPA,3.143368809350136
C83H49F8N7O4SZn,FZnP,EthynThPA,TPA,MOTPA,TPA,3.135751707982763
C72H42F8N6O5SZn,FZnP,EthynThPA,TPA,TMP,TPA,3.480986823645935
C79H51F8N7O4S2Zn,FZnP,EthynDThPA,DTA,MOTPA,DTA,2.9547450545560423
C76H40F8N6O3S2Zn,FZnP,EthynDThPA,TPA,EthynPhM,TPA,3.306515170815601
C74H39F8N7O2S2Zn,FZnP,DThPCyanoAcryl,TPA,Ph,TPA,3.3238968398429733
C87H51F8N7O4S2Zn,FZnP,EthynDThPA,TPA,MOTPA,TPA,3.025197787531397
C80H48F8N6O7S2Zn,FZnP,EthynDThPA,MOTPA,EthynPhM,MOTPA,3.172789514948704
C75H42F8N6O4S2Zn,FZnP,EthynDThPA,TPA,DMP,TPA,3.357861440592842
C77H45F8N7O2SZn,FZnP,EthynThPA,TPA,DTA,TPA,3.2297515082369728
C79H65F8N5O4S2Zn,FZnP,EthynDThPA,DTBP,MOTPA,DTBP,3.442546680849773
C77H52F8N6O2SZn,FZnP,EthynThPA,TPA,DTBP,TPA,3.5227576266904634
C75H48F8N6O8SZn,FZnP,EthynThPA,MOTPA,DMP,MOTPA,3.128638649610366
C76H39F8N7O2S2Zn,FZnP,EthynDThPCyanoAcryl,TPA,Ph,TPA,3.1297993095136007
C73H38F8N6O2S2Zn,FZnP,EthynDThPA,TPA,Ph,TPA,3.3935105017565093
C81H47F8N7O2S2Zn,FZnP,EthynDThPA,TPA,DTA,TPA,3.115829515530777
C81H54F8N6O2S2Zn,FZnP,EthynDThPA,TPA,DTBP,TPA,3.3914006157629046
C73H33F13N6O2S2Zn,FZnP,EthynDThPA,TPA,FPh,TPA,3.282091858303943
C85H47F8N7O2S2Zn,FZnP,EthynDThPA,TPA,TPA,TPA,3.1493248151634816
C73H44F8N6O6SZn,FZnP,EthynThPA,MOTPA,Ph,MOTPA,3.0690346213151543
C76H50F8N6O9SZn,FZnP,EthynThPA,MOTPA,TMP,MOTPA,3.0969496786094624
C85H53F8N7O6SZn,FZnP,EthynThPA,MOTPA,TPA,MOTPA,2.9852663225924516
C87H57F8N7O8SZn,FZnP,EthynThPA,MOTPA,MOTPA,MOTPA,2.886906381673498
C76H46F8N6O7SZn,FZnP,EthynThPA,MOTPA,EthynPhM,MOTPA,3.005732623840686
C77H46F8N6O6S2Zn,FZnP,EthynDThPA,MOTPA,Ph,MOTPA,2.9666369050513595
C79H50F8N6O8S2Zn,FZnP,EthynDThPA,MOTPA,DMP,MOTPA,2.965160870929708
C76H44F8N6O5S2Zn,FZnP,EthynDThPA,TPA,TMP,TPA,3.396353734853392
C81H53F8N7O6SZn,FZnP,EthynThPA,MOTPA,DTA,MOTPA,2.868348333521226
C89H55F8N7O6S2Zn,FZnP,EthynDThPA,MOTPA,TPA,MOTPA,2.863924314342512
C85H55F8N7O6S2Zn,FZnP,EthynDThPA,MOTPA,DTA,MOTPA,2.7921030402212637
C91H59F8N7O8S2Zn,FZnP,EthynDThPA,MOTPA,MOTPA,MOTPA,2.82235436694873
C47H20F8N4O2Zn,FZnP,rot-EthynPhA,Ph,Ph,Ph,4.407106132257013
C47H15F13N4O2Zn,FZnP,rot-EthynPhA,Ph,FPh,Ph,4.394763599382031
C50H22F8N4O3Zn,FZnP,rot-EthynPhA,Ph,EthynPhM,Ph,4.093080102462636
C49H24F8N4O4Zn,FZnP,rot-EthynPhA,Ph,DMP,Ph,4.16727078483666
C51H28F8N4O6Zn,FZnP,rot-EthynPhA,DMP,Ph,DMP,4.059830524038034
C50H26F8N4O5Zn,FZnP,rot-EthynPhA,Ph,TMP,Ph,3.9983339032316962
C51H23F13N4O6Zn,FZnP,rot-EthynPhA,DMP,FPh,DMP,4.012858873473306
C55H36F8N4O2Zn,FZnP,rot-EthynPhA,Ph,DTBP,Ph,4.315894068357693
C53H32F8N4O8Zn,FZnP,rot-EthynPhA,DMP,DMP,DMP,3.9428471004584935
C54H30F8N4O7Zn,FZnP,rot-EthynPhA,DMP,EthynPhM,DMP,3.869438349697134
C54H34F8N4O9Zn,FZnP,rot-EthynPhA,DMP,TMP,DMP,3.8317459364935758
C59H44F8N4O6Zn,FZnP,rot-EthynPhA,DMP,DTBP,DMP,4.031322625516964
C71H68F8N4O2Zn,FZnP,rot-EthynPhA,DTBP,DTBP,DTBP,4.234174306307523
C47H10F18N4O2Zn,FZnP,rot-EthynPhA,FPh,Ph,FPh,4.421397843364048
C59H29F8N5O2Zn,FZnP,rot-EthynPhA,Ph,TPA,Ph,3.714883830450958
C47H5F23N4O2Zn,FZnP,rot-EthynPhA,FPh,FPh,FPh,4.389742192698463
C50H12F18N4O3Zn,FZnP,rot-EthynPhA,FPh,EthynPhM,FPh,4.08451766773544
C63H47F13N4O2Zn,FZnP,rot-EthynPhA,DTBP,FPh,DTBP,4.26145439208949
C49H14F18N4O4Zn,FZnP,rot-EthynPhA,FPh,DMP,FPh,4.137586078653385
C61H33F8N5O4Zn,FZnP,rot-EthynPhA,Ph,MOTPA,Ph,3.519670334934517
C55H29F8N5O2Zn,FZnP,rot-EthynPhA,Ph,DTA,Ph,3.6916658756798597
C66H54F8N4O3Zn,FZnP,rot-EthynPhA,DTBP,EthynPhM,DTBP,4.000510206869876
C50H16F18N4O5Zn,FZnP,rot-EthynPhA,FPh,TMP,FPh,3.9473937999385953
C55H26F18N4O2Zn,FZnP,rot-EthynPhA,FPh,DTBP,FPh,4.327304976157166
C48H21F8N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,Ph,Ph,4.228762860733923
C59H37F8N5O6Zn,FZnP,rot-EthynPhA,DMP,DTA,DMP,3.5855347479520105
C63H37F8N5O6Zn,FZnP,rot-EthynPhA,DMP,TPA,DMP,3.598671198897023
C48H16F13N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,FPh,Ph,4.225893112260906
C50H25F8N5O4SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,DMP,Ph,3.991768531886123
C65H41F8N5O8Zn,FZnP,rot-EthynPhA,DMP,MOTPA,DMP,3.4280510488189293
C51H23F8N5O3SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,EthynPhM,Ph,3.8815350021066024
C51H27F8N5O5SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,TMP,Ph,3.8288799124601383
C59H19F18N5O2Zn,FZnP,rot-EthynPhA,FPh,TPA,FPh,3.6536849442629773
C71H61F8N5O2Zn,FZnP,rot-EthynPhA,DTBP,DTA,DTBP,3.6811527559701744
C61H23F18N5O4Zn,FZnP,rot-EthynPhA,FPh,MOTPA,FPh,3.4035324699126477
C56H37F8N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,DTBP,Ph,4.12281512987488
C55H19F18N5O2Zn,FZnP,rot-EthynPhA,FPh,DTA,FPh,3.606945772862673
C71H38F8N6O2Zn,FZnP,rot-EthynPhA,TPA,Ph,TPA,3.4185577435171126
C60H30F8N6O2SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,TPA,Ph,3.4790310250010634
C56H30F8N6O2SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,DTA,Ph,3.402187838768782
C62H34F8N6O4SZn,FZnP,rot-EthenThPCyanoAcryl,Ph,MOTPA,Ph,3.2487935347077155
C52H29F8N5O6SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,Ph,DMP,3.869862596205394
C55H35F8N5O9SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,TMP,DMP,3.6132409537445938
C54H33F8N5O8SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,DMP,DMP,3.7852847085719077
C52H24F13N5O6SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,FPh,DMP,3.8043760033808667
C60H45F8N5O6SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,DTBP,DMP,3.8503205781349834
C66H42F8N6O8SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,MOTPA,DMP,3.160162540071042
C53H27F13N4O8Zn,FZnP,rot-EthynPhA,TMP,FPh,TMP,3.7173241496283254
C64H38F8N6O6SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,TPA,DMP,3.4189240330615576
C56H34F8N4O9Zn,FZnP,rot-EthynPhA,TMP,EthynPhM,TMP,3.647572442990281
C60H38F8N6O6SZn,FZnP,rot-EthenThPCyanoAcryl,DMP,DTA,DMP,3.351010155074505
C61H48F8N4O8Zn,FZnP,rot-EthynPhA,TMP,DTBP,TMP,3.7613883093124514
C51H17F18N5O5SZn,FZnP,rot-EthenThPCyanoAcryl,FPh,TMP,FPh,3.507774049791692
C48H11F18N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,FPh,Ph,FPh,4.227185507881131
C53H17F13N6O2SZn,FZnP,rot-EthynBTDPhA,Ph,FPh,Ph,3.9805602880667266
C48H6F23N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,FPh,FPh,FPh,4.191937277159013
C53H22F8N6O2SZn,FZnP,rot-EthynBTDPhA,Ph,Ph,Ph,3.9810850902764514
C54H33F8N5O8SZn,FZnP,rot-EthenThPCyanoAcryl,TMP,Ph,TMP,3.765457511564364
C54H28F13N5O8SZn,FZnP,rot-EthenThPCyanoAcryl,TMP,FPh,TMP,3.7252067512362146
C51H13F18N5O3SZn,FZnP,rot-EthenThPCyanoAcryl,FPh,EthynPhM,FPh,3.909070476317652
C56H24F8N6O3SZn,FZnP,rot-EthynBTDPhA,Ph,EthynPhM,Ph,3.7458092174657622
C50H15F18N5O4SZn,FZnP,rot-EthenThPCyanoAcryl,FPh,DMP,FPh,3.966344621268945
C61H41F8N5O8Zn,FZnP,rot-EthynPhA,TMP,DTA,TMP,3.5749987190971524
C56H37F8N5O10SZn,FZnP,rot-EthenThPCyanoAcryl,TMP,DMP,TMP,3.693100564153724
C55H26F8N6O4SZn,FZnP,rot-EthynBTDPhA,Ph,DMP,Ph,3.776442388360124
C56H28F8N6O5SZn,FZnP,rot-EthynBTDPhA,Ph,TMP,Ph,3.620440034710441
C64H53F8N5O2SZn,FZnP,rot-EthenThPCyanoAcryl,DTBP,Ph,DTBP,4.122215245190887
C61H38F8N6O2SZn,FZnP,rot-EthynBTDPhA,Ph,DTBP,Ph,3.900233822374048
C57H39F8N5O11SZn,FZnP,rot-EthenThPCyanoAcryl,TMP,TMP,TMP,3.6671728931094094
